"orden","ruta","tipo","clasificación_g8","estado_o_tratamiento","fundamento","tamaño_bytes","sha256"
"16","apps/web/src/main.tsx","Código TSX","Fundación web G7 protegida","Sin cambios respecto del corte de entrada","Fuera del delta G8; modificación prohibida","392","a2c1af346bba1c9817b175ab5549777bb3810ede08bf15fcfcbd3b304312e52b"
"17","apps/web/src/styles.css","Hoja de estilos","Fundación web G7 protegida","Sin cambios respecto del corte de entrada","Fuera del delta G8; modificación prohibida","525","8fba1ca8f2ca5b3b516d0a815379d30e0e04220233eb4c2fd927e5073b555b2f"
"18","apps/web/vite.config.ts","Código TypeScript","Fundación web G7 protegida","Sin cambios respecto del corte de entrada","Fuera del delta G8; modificación prohibida","195","8d99a3f72bbbf1bb56080d870c87c780da24ead2908398ac67f066ad62c9b8dc"
"19","assets/.gitkeep","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"20","assets/maps/natural-earth/NOTICE.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","261","5a5a59bdeb9fcb27dd7f7188769897e449af86274736117d5ab863186f17162a"
"21","assets/maps/natural-earth/README.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","756","5cf01b1931611e2fb4bc089de39f082926e695befee5296ebf39abd5d3fad1bb"
"22","assets/maps/natural-earth/derived/natural-earth-110m-physical.geojson","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","373637","15d9b3d406807bfda709940e39f242c344de0cfb9e55a835299e3975a2520db7"
"23","assets/maps/natural-earth/sources.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","2003","920868293dc9b063e85568d81e287d5c0f0034a99fcdadfd2f01542a2fd4ed26"
"24","assets/maps/natural-earth/sources/ne_110m_coastline.geojson","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","139907","851f581ff5ffb844deed8ae1a9ce22e3c4bb3d74fa342cadb5d8e39b41ae7c3c"
"25","assets/maps/natural-earth/sources/ne_110m_land.geojson","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","138160","9e0729ee253ca7d7a5c4ae9395fb1902264c5377c52e224d13dd85010e2835d9"
"26","assets/maps/natural-earth/sources/ne_110m_ocean.geojson","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","117438","5cf3eb6fb202ff7f1cc0b27b49235a05703687f6cd81e45115d4250aa15b8a76"
"27","configs/governance/g7-foundation.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","979","71c352137bf8f53baa2b863aff69384981af62d25005f3da9edc1f70448925ef"
"28","configs/governance/g8-spec.json","Configuración JSON","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","3454","bb34b9a5e3030ba72a5e65e6b9ea1c5e358da01876759f8651430bca1e4c31bb"
"29","docs/GUÍA_EDITORIAL.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","32247","294ed6d81e89bc54e921aa1087fb15887d4121afda8a8a49f570df29d1fab4c2"
"30","docs/README.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","7303","62bb092bdabd28c19392222438f6d13517dcdf8eeba7596f918b6fe7f9cbf90d"
"31","docs/adr/ADR-016.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","8498","566220c6ffebf5ef1a9b43b3844313861df27a0c035744b36d07b954afc926b7"
"32","docs/adr/ADR-017.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","5324","c83a88e44e84476b79a349c030f28d84912e799519f9b2517616881c398fbd1d"
"33","docs/adr/ADR-018.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4372","5ef089815eec7629cf00f2778d120dc61d4abd98fc0eb37a8daae2ae940be3c1"
"34","docs/adr/ADR-019.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4203","43a0420f439cea7822cc86cf549194680d2a6e96798db0be099f8a302c344cfb"
"35","docs/adr/ADR-020.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3937","09def6457c3c550f98d310a2df99b44ab3b85f5ca1f348211af83c36415a867f"
"36","docs/adr/ADR-021.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4074","6e0d59e1142745410ceb05af342e810cc15101597797860f468e48fb98e3566d"
"37","docs/adr/ADR-022.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4168","83562fbbb4ec4c5453caf38fc96f8cbddf5f3b11fc76b78606a81c7e0dc17b5b"
"38","docs/adr/ADR-023.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3989","7fcc8ae79cd9e56c4291fc00928b69c4c21392f26a85cb3f8ae5d66a00505132"
"39","docs/adr/ADR-024.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3899","e4a016bd3ec5ef266fc2e90b7b08e9b1a0ae88593b655f9856f4f0e801d51e1b"
"40","docs/adr/ADR-025.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4029","b17125cf7697ddaa6ffa5663a8bbd46ce362c4c43c3967238d3fead31c7db6ad"
"41","docs/adr/ADR-026.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4143","5b4560af3aeeac59e8604fc8ef5bae7071f161a0c26885b1ba25a11ccb7ca1b2"
"42","docs/adr/ADR-027.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4417","bf8460ecc73c89a644f4256d44a1f7a33b229e6e553ea2ab0aa39ed25d78e3d6"
"43","docs/adr/ADR-028.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3986","7870ea684a66433d414e2a115632d93b1fe988e1e93e254092592f971501825e"
"44","docs/adr/ADR-029.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4207","cf9b2e9266ea7b76aa69a30391db73afa593401375c2f69e700ce8f7d6b2193f"
"45","docs/adr/ADR-030.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4285","3257d0693224b4f688e6d8051e38ac567bd0ebb6b72347ca6b2a85d01993b72c"
"46","docs/adr/ADR-031.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4562","9d006463c9f625ba0b743d69da953c49cebb0428738cb83d9468420e1c3a40c4"
"47","docs/adr/ADR-032.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4407","f5d535b7c547baef838836387835d3affe0a27d4582447edeede210d8bc61057"
"48","docs/adr/ADR-033.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4419","65db4919d7cf8780d231f355ab6f8a463a84260285d78d2b57fdb0e4eee02d87"
"49","docs/adr/ADR-034.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4449","35b22ccd7cfbfba49da673632c944f891e3e7d2d54677eece37bf68db029ef69"
"50","docs/adr/ADR-035.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4379","a5e6f8ea66728779d8b980dffe8514d2102c408c739b131e855e7486b00ed44d"
"51","docs/adr/ADR-036.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4414","fe85b763405cf0f22f714a5e1a20c59c780a072d958d36d56cb2c840beb4d575"
"52","docs/adr/ADR-037.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4400","d788d8153db7b1884101d59572abd491d63015936c4033a7e46c199b74b6b688"
"53","docs/adr/ADR-038.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4100","65c70e546e8c82451451a59dac4fe6b6463d1a6d3b4ab9e390e05259a26a8b57"
"54","docs/adr/ADR-039.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4146","38dcced742923253821b1fba2e7f008778a7dc01111f8b03b00a5347a4986925"
"55","docs/adr/ADR-040.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4317","74a3bb3eed8c86e2031c65b8d9cc9df2e11bd3b5057be169b3cbfcc2121896d8"
"56","docs/adr/ADR-041.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","5006","7de246aea014fa3a7e195b4f990ed990aba579cbf0539343549a11d056e80cf0"
"57","docs/adr/ADR-042.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4343","3ef312254bf61787e6e656d9437a451d8a5113b78a252c95aba46779fba5cbbc"
"58","docs/adr/ADR-043.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4080","f6e708db0e0fb8c48cb66b2882a6126c6521adfb727f051c9c8cc8d8d31b2b02"
"59","docs/adr/ADR-044.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4435","df6a17696b5d82e3d6830a9f0f12049e5077d65d7c8f06514db09d5965297297"
"60","docs/adr/ADR-045.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4013","297f7c20879d67665772e23e9ae07244a642de06d8f92c90adb83a38cef781ad"
"61","docs/adr/ADR-046.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","5460","b06932167fc3d2f0751648b3345cca92568ee50bf7e55fc8b2e70aabaaa94165"
"62","docs/adr/ADR-047.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","7281","b4ec3b6a115c62b0fa702b773a921fd1a32ca9884a713cdd0c5242b3324fec1c"
"63","docs/adr/ADR-048.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3802","d7aafba6158fe7ac33e0983e304de23325e05bae7b2083806c768da4dbc483f7"
"64","docs/adr/ADR-049.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4127","91e69e4aef94e0c6504eb30b9a2b11b4bf13ec19a6ce3f09751a562961012093"
"65","docs/adr/ADR-050.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4660","bd6fca89c18287e5fb0f667b209738a1c6a54bb16154d3ee0451dd283a6b0627"
"66","docs/adr/ADR-051.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4595","3b9eb48c1b3cc0b2c684ef6faa44eb21b635821e335a70dce4b75d65ba12d113"
"67","docs/adr/ADR-052.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3993","89c079511af2197b5adae7bd87036ba180cf00ecb29b61c7e67e65780df09798"
"68","docs/adr/ADR-053.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3094","3173240bd0bf1112a454fa7093fe196026989a7dbbb710d18d0a35bac1e46c85"
"69","docs/adr/ADR-054.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4063","e419913097ac2d935b5153dc7572ee35c0a1064672297a9585f9708e9ce74c81"
"70","docs/ejemplos/.gitkeep","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"71","docs/ingeniería/00_FUNDAMENTOS.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","34696","b4698deefe4d6993ca7d535c49c6613c3c0df5374d419a3fff40dc5889d8aaff"
"72","docs/ingeniería/01_VISIÓN_DEL_PRODUCTO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","85802","bd6cac427643d17c39a386b0a2c79b7aa70857a1f731e7445605466116add281"
"73","docs/ingeniería/02_ARQUITECTURA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","106104","b082ac6edb45378d3255824d4acbad191cdbb43050cc8a863082e45382b1c7b2"
"74","docs/ingeniería/03_SISTEMA_DE_DISEÑO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","55030","fbadc3e093fd9aab742f386f5432f5c6679cb9df0387db97e9d09740231f4809"
"75","docs/ingeniería/04_PILA_TECNOLÓGICA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","64191","869d8332df81e4636a80d5893175bdecc9f3229ec01c57a6d5c542a44cb9e49f"
"76","docs/ingeniería/05_HOJA_DE_RUTA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","60780","e178ee91876efe00009166b2f8e8c054a6d9012790cd52a4d2de5720b795bf69"
"77","docs/ingeniería/06_CONSTITUCIÓN_DEL_PROYECTO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","71371","a5afdf0db33dc70274e9893aca3281464ba3d9af72ee1ea46eec8aa44e4130f9"
"78","docs/ingeniería/07_ARQUITECTURA_DE_LAYOUTS.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","55220","92baa4ddee39952033c705f8456024f0ec5fc751e91c015f6cabed61371ba997"
"79","docs/ingeniería/08_ARQUITECTURA_DE_COMPONENTES.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","49772","300839a6b167767d7fadfebaf8e8406babc8ebf79fa6e00075ff5a2777aac60d"
"80","docs/ingeniería/09_RESPONSIVE.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","41133","6c68081bd1b7b1e084484f941197cb1c6cffcdedd94dd01608bf64e342b11039"
"81","docs/ingeniería/10_ESTADO_GLOBAL.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","48292","d151ab9e33d2ca0f1c1383c55d6cc22d2faf66d2ad482eaccabaceded5a8121c"
"82","docs/ingeniería/11_RENDERIZADO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","56650","87d9e040f26c1c9c5f77a2f328bc98cd0b79f07f8be2963d9f01109e6095e7c8"
"83","docs/ingeniería/12_ARQUITECTURA_CARTOGRÁFICA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","146094","946fff5a5ba1a5f85d6c063f72e05668011fe8009234e272ef8fa8e03de771b4"
"84","docs/ingeniería/13_ARQUITECTURA_DE_EXTENSIBILIDAD.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","72522","0046c120a9a4ee67529cadc83808d00a7d60ab3e3b2eb437614a5947293566b4"
"85","docs/ingeniería/14_DECISIONES_DE_ARQUITECTURA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","75631","3b7346a96f2a4cdb87797b8e83af791c4500c751d09a11731ad4521859baa0c9"
"86","docs/ingeniería/15_BITÁCORA_DE_DESARROLLO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","71760","1b4c0e03fe13433eb7d425c759c4db70b2fd2151d9d8f70eeac2fc6e4cde8812"
"87","docs/ingeniería/16_ARQUITECTURA_DE_IA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","148509","d7e57fbc3f26ea7ff9e2d53dd8fc1f26d57f762ae49fe0c4c2eb89d580fe798c"
"88","docs/ingeniería/17_AUTENTICACIÓN_Y_SEGURIDAD.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","93567","1c56fe12837c129e6e9c214964a524226c26c8bf3513f505c331a2ea0f485e09"
"89","docs/ingeniería/18_GESTIÓN_DE_VERSIONES.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","89791","c48292016f8e9dcbb27b3621c7e200f5a6c41e5b5002788e163727af84c06b55"
"90","docs/ingeniería/19_ARQUITECTURA_Y_DOMINIO_MÍNIMOS_DEL_PILOTO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","28444","aa5f1d4cf67a5847da04cd410c1db1082f67775842b85e2ce41cd7ec3a872c9f"
"91","docs/ingeniería/20_PERFIL_DE_CALIDAD_SEGURIDAD_Y_VERIFICACIÓN_DEL_PILOTO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","35940","f8fb5efbd6a6fb026162f5ad86a82153ba3ccdb319fe94690a910e5459a092b4"
"92","docs/ingeniería/21_FUNDACIÓN_EJECUTABLE_Y_CONFORMIDAD_AUTOMÁTICA_DEL_REPOSITORIO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","18233","a5edaf3faec76c22df63127da488ea7583b9f18d9e266a261114a1a243ef475a"
"93","docs/ingeniería/README.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6926","409d4ceb0f8311a0c47fa47af13c8aef4016225796a75a4bf34a5567d631cf96"
"94","docs/ingeniería/ÍNDICE.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","7264","440e00f9606ab884be03ac184b058c4be7e0494334f5ed0b527294814a1c1e74"
"95","docs/notas_internas/00_ESTADO_DEL_PROYECTO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","80853","afc1997bb5b28f175c4d2ed482965207c4a1a3ec86db82a3b06f741362198793"
"96","docs/notas_internas/01_EVOLUCIÓN_DEL_MANUAL.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","5180","64588847aa2b9587f9e1798bdcc3c2fe68bd08905c318d7171ddd0d3f52b8c71"
"97","docs/notas_internas/02_MAPA_DE_INTEGRACIÓN_DOCUMENTAL.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6539","bbe744f9819fa74f8a8f09d1637399c073101180aa6a64657e9b2d3fcf1bef4e"
"98","docs/notas_internas/03_INFORME_DE_INTEGRACIÓN_TÉCNICA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4083","e82df2f0468caaaf83c8204c6bd8d63fb3222bb8f501c1ea28fbdce934502803"
"99","docs/notas_internas/04_IDEAS.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3751","feccef97c987fd8fdabb985a69ac5a65f1534c95903b8822d9f3457fefa41cec"
"100","docs/notas_internas/05_DECISIONES_PENDIENTES.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3851","d7e5facb86b961da24b9d876e455598e4e0480659cc257aa6a390486deec1807"
"101","docs/notas_internas/06_OBSERVACIONES.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3612","eaa367a7f4be991eee2c4439e19d62195c8970ac9897de5747e7ed19251d99d9"
"102","docs/notas_internas/07_ACTA_DE_APROBACIÓN_ARQUITECTÓNICA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","14813","64ef2a2ac83e15f101b6fc3a71cefc7242a4746e8c6abe3db0b3027e6a11f8cc"
"103","docs/notas_internas/08_CARTA_FUNDACIONAL_DE_GEOMOTION_STUDIO.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6044","2ff70cff35333ad136e4ef603ef98061bbe05377b5cd480233c170be22d1f14c"
"104","docs/notas_internas/09_CONTEXTO_MAESTRO_DIRECCIÓN_TÉCNICA.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3042","be4f25207d3d0461f5be2f43ac4bfd15c9f87ed9d17b13ca89a7094f0a4f2a99"
"105","docs/notas_internas/10_CONTEXTO_OPERATIVO_DT.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6715","c0d1ac6c055b4e5d0f6e9a58ca1e19a9159e5d3ce90dd961761eae6ee1acaa91"
"106","docs/notas_internas/11_PROTOCOLO_OPERATIVO_DT.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","12928","60105ffbea90b88e3598fc0ac96f5aded987a3e7be55bac3251f273cfa6988f5"
"107","docs/producto/FRONTERAS_EDICIONES_LICENCIAS_Y_PI_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","7080","8724956aa54c71105acf4576f0380d7c8d72e8a095cc917080f69e96f113479d"
"108","docs/producto/INICIATIVA_INI-GMS-0001_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","8329","65377db9ac282e6772dc2121403d19c8f85a81e0a6e863ec8bb2a0dcc85b5134"
"109","docs/producto/MAPA_CAPACIDADES_ALCANCE_Y_PRIORIZACION_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","9942","e3a6758fc3a17f0a1e60f0cdf1cb930f752c50c63b8ea903655df1cd5f771477"
