"orden","ruta","tipo","clasificación_g1","código","título","versión","estado_o_tratamiento","fundamento","tamaño_bytes","sha256"
"11","apps/web/src/assets/react.svg","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/assets/react.svg","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","4126","35ef61ed53b323ae94a16a8ec659b3d0af3880698791133f23b084085ab1c2e5"
"12","apps/web/src/assets/vite.svg","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/assets/vite.svg","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","8709","5be21acd42eb7b896e517f4e0f0f11eb5c5d9e54fbbcebe9453f033008fcca6f"
"13","apps/web/src/components/Canvas/Canvas.css","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/Canvas/Canvas.css","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"14","apps/web/src/components/Canvas/Canvas.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/Canvas/Canvas.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"15","apps/web/src/components/Header/Header.css","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/Header/Header.css","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"16","apps/web/src/components/Header/Header.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/Header/Header.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"17","apps/web/src/components/Inspector/Inspector.css","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/Inspector/Inspector.css","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"18","apps/web/src/components/Inspector/Inspector.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/Inspector/Inspector.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"19","apps/web/src/components/Sidebar/Sidebar.css","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/Sidebar/Sidebar.css","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"20","apps/web/src/components/Sidebar/Sidebar.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/Sidebar/Sidebar.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"21","apps/web/src/components/StatusBar/StatusBar.css","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/StatusBar/StatusBar.css","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"22","apps/web/src/components/StatusBar/StatusBar.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/components/StatusBar/StatusBar.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"23","apps/web/src/layouts/componets/Dock.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/layouts/componets/Dock.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"24","apps/web/src/layouts/componets/Panel.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/layouts/componets/Panel.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"25","apps/web/src/layouts/componets/Splitter.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/layouts/componets/Splitter.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"26","apps/web/src/layouts/DesktopLayout.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/layouts/DesktopLayout.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"27","apps/web/src/layouts/MainLayout.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/layouts/MainLayout.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","92","511a4d81aef30d2f361384482c057d90ee85baa6b3aaee102894734fe119869b"
"28","apps/web/src/layouts/MobileLayout.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/layouts/MobileLayout.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"29","apps/web/src/layouts/TabletLayout.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/layouts/TabletLayout.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"30","apps/web/src/main.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/main.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","245","b9d6c03e4150ea24ea7d651555cae08664c4336d5d02a92bd8fd12a10a3768e2"
"31","apps/web/src/styles/globals.css","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/styles/globals.css","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","267","e54684c7608a3b24ce40e19c180b75cbd27287434680d1085cc69885d23a9d3b"
"32","apps/web/src/styles/variables.css","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/styles/variables.css","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","200","2b5888a60c6448c66f7fe9aad1780f347e706270c2cb5c93cb63d529679d2103"
"33","apps/web/tsconfig.app.json","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/tsconfig.app.json","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","655","8e5d12ba330e7d86409edec74b95451e0db22ee09b9426c94b5bf817571eddb0"
"34","apps/web/tsconfig.json","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/tsconfig.json","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","119","770b4140bbb581e2dfd9ea9946ffc9c75a1d86ba7d2db5f77c83e37cbdf9d808"
"35","apps/web/tsconfig.node.json","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/tsconfig.node.json","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","558","d366cc0827139db39c61815f22491bbfda56c654354a42ad7795143d314e45e8"
"36","apps/web/vite.config.ts","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/vite.config.ts","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","161","4d36db3522a7b2dd10e0936e1004373c7ee65f10f7cd7920cd76410459c15a45"
"37","assets/.gitkeep","Marcador de directorio","Reserva estructural","No aplica","assets/.gitkeep","No aplica","Vacío, materializado","D-11","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"38","CHANGELOG.md","Registro histórico","Soporte del repositorio","No aplica","CHANGELOG vacío","No aplica","Vacío, conservado","Corte canónico de partida","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"39","docs/adr/ADR-016.md","ADR","Núcleo normativo G1","ADR-016","Arquitectura Modular basada en Capacidades","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","8498","566220c6ffebf5ef1a9b43b3844313861df27a0c035744b36d07b954afc926b7"
"40","docs/adr/ADR-017.md","ADR","Núcleo normativo G1","ADR-017","Organización del repositorio como Monorepo","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","5324","c83a88e44e84476b79a349c030f28d84912e799519f9b2517616881c398fbd1d"
"41","docs/adr/ADR-018.md","ADR","Núcleo normativo G1","ADR-018","Organización basada en Módulos Arquitectónicos","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4372","5ef089815eec7629cf00f2778d120dc61d4abd98fc0eb37a8daae2ae940be3c1"
"42","docs/adr/ADR-019.md","ADR","Núcleo normativo G1","ADR-019","Project como contexto raíz del sistema","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4203","43a0420f439cea7822cc86cf549194680d2a6e96798db0be099f8a302c344cfb"
"43","docs/adr/ADR-020.md","ADR","Núcleo normativo G1","ADR-020","Escenas como contextos independientes","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","3937","09def6457c3c550f98d310a2df99b44ab3b85f5ca1f348211af83c36415a867f"
"44","docs/adr/ADR-021.md","ADR","Núcleo normativo G1","ADR-021","Map como módulo cartográfico independiente","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4074","6e0d59e1142745410ceb05af342e810cc15101597797860f468e48fb98e3566d"
"45","docs/adr/ADR-022.md","ADR","Núcleo normativo G1","ADR-022","Separación entre Assets y Objects","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4168","83562fbbb4ec4c5453caf38fc96f8cbddf5f3b11fc76b78606a81c7e0dc17b5b"
"46","docs/adr/ADR-023.md","ADR","Núcleo normativo G1","ADR-023","Gestión centralizada de Assets","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","3989","7fcc8ae79cd9e56c4291fc00928b69c4c21392f26a85cb3f8ae5d66a00505132"
"47","docs/adr/ADR-024.md","ADR","Núcleo normativo G1","ADR-024","Timeline como dominio temporal centralizado","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","3899","e4a016bd3ec5ef266fc2e90b7b08e9b1a0ae88593b655f9856f4f0e801d51e1b"
"48","docs/adr/ADR-025.md","ADR","Núcleo normativo G1","ADR-025","Render como módulo independiente","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4029","b17125cf7697ddaa6ffa5663a8bbd46ce362c4c43c3967238d3fead31c7db6ad"
"49","docs/adr/ADR-026.md","ADR","Núcleo normativo G1","ADR-026","Export como módulo independiente de generación de artefactos","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4143","5b4560af3aeeac59e8604fc8ef5bae7071f161a0c26885b1ba25a11ccb7ca1b2"
"50","docs/adr/ADR-027.md","ADR","Núcleo normativo G1","ADR-027","Comunicación exclusivamente mediante contratos arquitectónicos","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4417","bf8460ecc73c89a644f4256d44a1f7a33b229e6e553ea2ab0aa39ed25d78e3d6"
"51","docs/adr/ADR-028.md","ADR","Núcleo normativo G1","ADR-028","Los principios arquitectónicos como guía permanente del proyecto","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","3986","7870ea684a66433d414e2a115632d93b1fe988e1e93e254092592f971501825e"
"52","docs/adr/ADR-029.md","ADR","Núcleo normativo G1","ADR-029","Evolución arquitectónica gobernada","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4207","cf9b2e9266ea7b76aa69a30391db73afa593401375c2f69e700ce8f7d6b2193f"
"53","docs/adr/ADR-030.md","ADR","Núcleo normativo G1","ADR-030","La arquitectura como referencia oficial del sistema","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4285","3257d0693224b4f688e6d8051e38ac567bd0ebb6b72347ca6b2a85d01993b72c"
"54","docs/adr/ADR-031.md","ADR","Núcleo normativo G1","ADR-031","La extensibilidad complementa la arquitectura, no la sustituye","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4562","9d006463c9f625ba0b743d69da953c49cebb0428738cb83d9468420e1c3a40c4"
"55","docs/adr/ADR-032.md","ADR","Núcleo normativo G1","ADR-032","El núcleo permanece estable y las capacidades evolucionan mediante extensiones","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4407","f5d535b7c547baef838836387835d3affe0a27d4582447edeede210d8bc61057"
"56","docs/adr/ADR-033.md","ADR","Núcleo normativo G1","ADR-033","Las extensiones constituyen el mecanismo oficial de evolución funcional","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4419","65db4919d7cf8780d231f355ab6f8a463a84260285d78d2b57fdb0e4eee02d87"
"57","docs/adr/ADR-034.md","ADR","Núcleo normativo G1","ADR-034","Las capacidades oficiales también utilizan la Arquitectura de Extensibilidad","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4449","35b22ccd7cfbfba49da673632c944f891e3e7d2d54677eece37bf68db029ef69"
"58","docs/adr/ADR-035.md","ADR","Núcleo normativo G1","ADR-035","Los Plugins Externos utilizan el mismo modelo arquitectónico que las extensiones oficiales","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4379","a5e6f8ea66728779d8b980dffe8514d2102c408c739b131e855e7486b00ed44d"
"59","docs/adr/ADR-036.md","ADR","Núcleo normativo G1","ADR-036","Toda capacidad extensible se incorpora mediante Puntos de Extensión explícitos","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4414","fe85b763405cf0f22f714a5e1a20c59c780a072d958d36d56cb2c840beb4d575"
"60","docs/adr/ADR-037.md","ADR","Núcleo normativo G1","ADR-037","Los contratos constituyen el único mecanismo oficial de integración","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4400","d788d8153db7b1884101d59572abd491d63015936c4033a7e46c199b74b6b688"
"61","docs/adr/ADR-038.md","ADR","Núcleo normativo G1","ADR-038","Las extensiones siguen un ciclo de vida arquitectónico gobernado","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4100","65c70e546e8c82451451a59dac4fe6b6463d1a6d3b4ab9e390e05259a26a8b57"
"62","docs/adr/ADR-039.md","ADR","Núcleo normativo G1","ADR-039","La evolución de la extensibilidad está sujeta a gobernanza arquitectónica","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4146","38dcced742923253821b1fba2e7f008778a7dc01111f8b03b00a5347a4986925"
"63","docs/adr/ADR-040.md","ADR","Núcleo normativo G1","ADR-040","La Arquitectura de Extensibilidad evoluciona preservando la estabilidad de la plataforma","No declarada","Aprobada","D-04; ratificación del corte G1 pendiente","4317","74a3bb3eed8c86e2031c65b8d9cc9df2e11bd3b5057be169b3cbfcc2121896d8"
"64","docs/ejemplos/.gitkeep","Marcador de directorio","Reserva estructural","No aplica","docs/ejemplos/.gitkeep","No aplica","Vacío, materializado","D-11","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"65","docs/GUÍA_EDITORIAL.md","Guía editorial","Documento controlado de apoyo","GUÍA-EDITORIAL","Guía Editorial de la Documentación","1.1","Vigente","Versión vigente; fuera del núcleo normativo","13085","759199b2891abb8b2a3459fe9caf9589e9e7442aa8bcdcfbebe8373fc04bde41"
"66","docs/ingeniería/00_FUNDAMENTOS.md","Documento normativo","Núcleo normativo G1","DOC-000","00 · FUNDAMENTOS","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","34696","b4698deefe4d6993ca7d535c49c6613c3c0df5374d419a3fff40dc5889d8aaff"
"67","docs/ingeniería/01_VISIÓN_DEL_PRODUCTO.md","Documento normativo","Núcleo normativo G1","DOC-001","01 · VISIÓN DEL PRODUCTO","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","85802","bd6cac427643d17c39a386b0a2c79b7aa70857a1f731e7445605466116add281"
"68","docs/ingeniería/02_ARQUITECTURA.md","Documento normativo","Núcleo normativo G1","DOC-002","02 · ARQUITECTURA","1.2","Publicado","Estado Publicado; ratificación del corte G1 pendiente","106104","b082ac6edb45378d3255824d4acbad191cdbb43050cc8a863082e45382b1c7b2"
"69","docs/ingeniería/03_SISTEMA_DE_DISEÑO.md","Documento normativo","Núcleo normativo G1","DOC-003","03 · SISTEMA DE DISEÑO","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","55030","fbadc3e093fd9aab742f386f5432f5c6679cb9df0387db97e9d09740231f4809"
"70","docs/ingeniería/04_PILA_TECNOLÓGICA.md","Documento normativo","Núcleo normativo G1","DOC-004","04 · PILA TECNOLÓGICA","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","64191","869d8332df81e4636a80d5893175bdecc9f3229ec01c57a6d5c542a44cb9e49f"
"71","docs/ingeniería/05_HOJA_DE_RUTA.md","Documento normativo","Núcleo normativo G1","DOC-005","05 · HOJA DE RUTA","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","60780","e178ee91876efe00009166b2f8e8c054a6d9012790cd52a4d2de5720b795bf69"
"72","docs/ingeniería/06_CONSTITUCIÓN_DEL_PROYECTO.md","Documento normativo","Núcleo normativo G1","DOC-006","06 · CONSTITUCIÓN DEL PROYECTO","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","71371","a5afdf0db33dc70274e9893aca3281464ba3d9af72ee1ea46eec8aa44e4130f9"
"73","docs/ingeniería/07_ARQUITECTURA_DE_LAYOUTS.md","Documento normativo","Núcleo normativo G1","DOC-007","07 · ARQUITECTURA DE LAYOUTS","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","55220","92baa4ddee39952033c705f8456024f0ec5fc751e91c015f6cabed61371ba997"
"74","docs/ingeniería/08_ARQUITECTURA_DE_COMPONENTES.md","Documento normativo","Núcleo normativo G1","DOC-008","08 · ARQUITECTURA DE COMPONENTES","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","49772","300839a6b167767d7fadfebaf8e8406babc8ebf79fa6e00075ff5a2777aac60d"
"75","docs/ingeniería/09_RESPONSIVE.md","Documento normativo","Núcleo normativo G1","DOC-009","09 · RESPONSIVE","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","41133","6c68081bd1b7b1e084484f941197cb1c6cffcdedd94dd01608bf64e342b11039"
"76","docs/ingeniería/10_ESTADO_GLOBAL.md","Documento normativo","Núcleo normativo G1","DOC-010","10 · ESTADO GLOBAL","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","48292","d151ab9e33d2ca0f1c1383c55d6cc22d2faf66d2ad482eaccabaceded5a8121c"
"77","docs/ingeniería/11_RENDERIZADO.md","Documento normativo","Núcleo normativo G1","DOC-011","11 · RENDERIZADO","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","56650","87d9e040f26c1c9c5f77a2f328bc98cd0b79f07f8be2963d9f01109e6095e7c8"
"78","docs/ingeniería/12_ARQUITECTURA_CARTOGRÁFICA.md","Documento normativo","Núcleo normativo G1","DOC-012","12 · ARQUITECTURA CARTOGRÁFICA","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","146094","946fff5a5ba1a5f85d6c063f72e05668011fe8009234e272ef8fa8e03de771b4"
"79","docs/ingeniería/13_ARQUITECTURA_DE_EXTENSIBILIDAD.md","Documento normativo","Núcleo normativo G1","DOC-013","13 · ARQUITECTURA DE EXTENSIBILIDAD","1.1","Publicado","Estado Publicado; ratificación del corte G1 pendiente","72522","0046c120a9a4ee67529cadc83808d00a7d60ab3e3b2eb437614a5947293566b4"
"80","docs/ingeniería/14_DECISIONES_DE_ARQUITECTURA.md","Documento normativo","Núcleo normativo G1","DOC-014","14 · DECISIONES DE ARQUITECTURA","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","75631","3b7346a96f2a4cdb87797b8e83af791c4500c751d09a11731ad4521859baa0c9"
"81","docs/ingeniería/15_BITÁCORA_DE_DESARROLLO.md","Documento normativo","Núcleo normativo G1","DOC-015","15 · BITÁCORA DE DESARROLLO","1.1","Publicado","Estado Publicado; ratificación del corte G1 pendiente","71760","1b4c0e03fe13433eb7d425c759c4db70b2fd2151d9d8f70eeac2fc6e4cde8812"
"82","docs/ingeniería/16_ARQUITECTURA_DE_IA.md","Documento normativo","Núcleo normativo G1","DOC-016","DOC-016 · Arquitectura de IA","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","147578","376b5e7b30756b4b6078e69d472fabea50fa74dde21074732d85eceafdc621dd"
"83","docs/ingeniería/17_AUTENTICACIÓN_Y_SEGURIDAD.md","Documento normativo","Núcleo normativo G1","DOC-017","17 · AUTENTICACIÓN Y SEGURIDAD","1.0","Publicado","Estado Publicado; ratificación del corte G1 pendiente","93567","1c56fe12837c129e6e9c214964a524226c26c8bf3513f505c331a2ea0f485e09"
"84","docs/ingeniería/18_GESTIÓN_DE_VERSIONES.md","Documento normativo","Núcleo normativo G1","DOC-018","18 · GESTIÓN DE VERSIONES","1.0","Publicado","D-05; estado Publicado; ratificación del corte G1 pendiente","89791","c48292016f8e9dcbb27b3621c7e200f5a6c41e5b5002788e163727af84c06b55"
"85","docs/ingeniería/ÍNDICE.md","Navegación documental","Soporte de navegación","No aplica","docs/ingeniería/ÍNDICE.md","No declarada","Informativo","D-10; fuera del núcleo normativo","6615","bda90008d2519826c98c625cd8c23615ae79dc6e168dc09d38d4c04413369865"
"86","docs/ingeniería/README.md","Navegación documental","Soporte de navegación","No aplica","docs/ingeniería/README.md","No declarada","Informativo","D-10; fuera del núcleo normativo","6643","6330cefff8ea104ee15f03e926138c3350484da816854f698d4eae47dc55c19f"
"87","docs/notas_internas/00_ESTADO_DEL_PROYECTO.md","Documento interno","Documento controlado de apoyo","INT-000","Estado del Proyecto","1.1.0","Activo","Apoyo contextual; fuera del núcleo normativo","79668","005e6968c24eb488c6bce1c058f1c7544013c11afd40b3dcb8bde5855861f3ca"
"88","docs/notas_internas/01_EVOLUCIÓN_DEL_MANUAL.md","Documento interno","Documento controlado de apoyo","INT-001","Evolución Manual","No declarada","Activo","Apoyo contextual; fuera del núcleo normativo","5180","64588847aa2b9587f9e1798bdcc3c2fe68bd08905c318d7171ddd0d3f52b8c71"
"89","docs/notas_internas/02_MAPA_DE_INTEGRACIÓN_DOCUMENTAL.md","Documento interno","Documento controlado de apoyo","INT-002","Mapa de Integración Documental","No declarada","Activo","Apoyo contextual; fuera del núcleo normativo","6539","bbe744f9819fa74f8a8f09d1637399c073101180aa6a64657e9b2d3fcf1bef4e"
"90","docs/notas_internas/03_INFORME_DE_INTEGRACIÓN_TÉCNICA.md","Documento interno","Documento controlado de apoyo","INT-003","Informe de Integración Técnica","No declarada","Histórico","Apoyo contextual; fuera del núcleo normativo","4083","e82df2f0468caaaf83c8204c6bd8d63fb3222bb8f501c1ea28fbdce934502803"
"91","docs/notas_internas/04_IDEAS.md","Documento interno","Documento controlado de apoyo","INT-004","Ideas","No declarada","Activo","Apoyo contextual; fuera del núcleo normativo","3751","feccef97c987fd8fdabb985a69ac5a65f1534c95903b8822d9f3457fefa41cec"
"92","docs/notas_internas/05_DECISIONES_PENDIENTES.md","Documento interno","Documento controlado de apoyo","INT-005","Decisiones Pendientes","No declarada","Activo","Apoyo contextual; fuera del núcleo normativo","3851","d7e5facb86b961da24b9d876e455598e4e0480659cc257aa6a390486deec1807"
"93","docs/notas_internas/06_OBSERVACIONES.md","Documento interno","Documento controlado de apoyo","INT-006","Observaciones","No declarada","Activo","Apoyo contextual; fuera del núcleo normativo","3612","eaa367a7f4be991eee2c4439e19d62195c8970ac9897de5747e7ed19251d99d9"
"94","docs/notas_internas/07_ACTA_DE_APROBACIÓN_ARQUITECTÓNICA.md","Documento interno","Documento controlado de apoyo","INT-007","Actas de Aprobación Arquitectónica","1.1.0","Activo","Apoyo contextual; fuera del núcleo normativo","14813","64ef2a2ac83e15f101b6fc3a71cefc7242a4746e8c6abe3db0b3027e6a11f8cc"
